C_water,WindSpeed,Temperature,Salinity,C_air
13.6,1.5433333333,-1.72,33.79,182.037275475
17,1.0288888889,-1.63,33.78,182.4834452678
27.83,4.1155555556,-1.41,33.79,103.0652221439
48.68,9.26,-1.26,33.79,147.2360316342
61.08,9.7744444444,-1.05,33.69,178.0217473395
61.49,8.7455555556,-1.18,33.74,240.4855183358
29.08,9.7744444444,-1.22,33.76,300.7184403679
69,6.6877777778,-0.9,33.74,256.5476308777
74.8,9.26,-1.16,33.7,247.1780652283
48.4,11.3177777778,-1.19,33.6,263.2401777702
37.6,11.3177777778,-0.79,33.62,179.360256718
40.6,12.3466666667,-0.71,33.6,96.8188450443
28.8,14.4044444444,-0.45,33.59,107.9730898651
18.3,14.4044444444,0.21,33.54,103.5113919367
26.9,11.3177777778,1.49,33.38,15.6159427491
22.2,11.8322222222,1.31,33.45,17.8467917132
90.3,13.89,-0.64,33.66,17.4006219204
54.7,15.4333333333,0.14,33.21,31.2318854982
22.6,14.9188888889,0.86,33.46,28.1086969483
22.94,10.8033333333,0.21,33.47,38.8167719763
12.78,10.8033333333,0.9,33.36,20.5238104702
11.96,12.8611111111,1.49,33.33,20.5238104702
32.8,15.4333333333,1.16,33.19,20.0776406774
21.6,15.9477777778,0.74,33.3,99.9420335941
125.9,13.3755555556,0.53,32.98,92.357147116
70.6,9.26,0.51,33.31,74.0641856099
100.7,10.2888888889,0.99,32.94,38.8167719763
119.8,10.8033333333,0.76,33.14,46.4016584544
12.76,11.3177777778,0.75,33.14,41.4937907333
14.61,11.3177777778,0.17,32.82,50.4171865899
28.37,10.2888888889,0.41,33,58.002073068
19.7,12.8611111111,0.77,33.05,100.8343731798
72.1,12.8611111111,0.89,33.09,44.6169792831
22.7,12.3466666667,-0.19,32.97,29.4472063268
20.5,11.3177777778,-0.09,33.04,29.8933761197
40.4,13.89,-1.54,33.97,187.3913129889
,8.7455555556,-1.68,33.95,167.3136723115
,8.7455555556,-1.48,33.98,175.3447285825
,11.3177777778,-1.27,34,68.2639783031
,10.2888888889,-1.36,33.99,71.8333366458
,11.3177777778,-1.44,33.96,79.8643929167
,13.89,-0.91,33.89,35.6935834265
,15.4333333333,-0.44,33.88,41.4937907333
,12.8611111111,-0.53,33.9,37.4782625978
,16.4622222222,0.95,33.61,42.3861303189
,15.9477777778,-0.36,33.88,89.680128359
,10.8033333333,-0.41,33.74,47.7401678329
,15.4333333333,0.21,33.48,107.9730898651
,16.9766666667,-0.07,33.59,96.3726752514
,15.9477777778,0.76,33.05,91.0186377375
,15.9477777778,0.62,33.48,457.3240376516
,15.4333333333,1.01,33.46,683.9782924096
,9.26,-0.07,32.98,638.4689735409
,12.3466666667,0.38,33.13,42.8323001118
,14.4044444444,,,80.3105627095
,7.2022222222,1.46,32.84,65.5869595461
,9.26,2.19,33.06,54.4327147254
,9.7744444444,2.27,32.87,32.5703948766
,1.0288888889,1.64,33.06,54.4327147254
,2.5722222222,1.05,33.38,44.6169792831
,3.6011111111,1.29,33.01,51.3095261755
,2.0577777778,1.44,33.29,69.1563178888
,3.6011111111,1.62,33.22,62.4637709963
,3.0866666667,1.04,33.35,102.6190523511
,2.5722222222,0.86,33.27,35.2474136336
,3.6011111111,0.84,33.41,32.1242250838
,2.5722222222,0.52,33.26,36.1397532193
,3.0866666667,0.55,33.19,153.4824087338
,2.0577777778,-0.16,33.18,241.8240277143
,6.1733333333,-0.1,33.24,152.5900691481
,5.6588888889,-0.74,33.21,195.4223692599
,1.5433333333,,,149.4668805983
,2.5722222222,,,265.9171965271
,2.0577777778,,,47.7401678329
,1.5433333333,,,187.3913129889
,1.5433333333,,,192.7453505029
,0.5144444444,,,38.3706021834
,2.0577777778,,,22.7546594344
,4.1155555556,,,33.4627344623
,2.5722222222,,,21.8623198487
,4.63,,,46.4016584544
,2.0577777778,,,60.679091825
,3.0866666667,,,96.8188450443
,2.5722222222,,,75.4026949884
,3.6011111111,,,37.9244323906
,3.0866666667,,,120.4658440643
,2.0577777778,,,125.3737117855
,1.5433333333,,,68.7101480959
,2.0577777778,,,111.0962784149
,2.5722222222,,,66.033129339
,3.6011111111,,,60.2329220322
,1.5433333333,,,182.4834452678
,1.0288888889,,,135.6356170206
,5.1444444444,,,324.365439388
,8.2311111111,,,334.6273446231
,3.6011111111,,,252.0859329494
,4.63,,,237.8084995788
,5.1444444444,,,252.0859329494
,8.2311111111,,,237.8084995788
,14.9188888889,,,99.0496940084
,12.3466666667,,,106.6345804866
,9.26,,,88.3416189805
,12.3466666667,,,82.9875814665
,14.4044444444,,,
,14.4044444444,,,
,15.4333333333,,,
,15.9477777778,,,
,12.8611111111,,,
,15.4333333333,,,
,16.4622222222,,,
,15.9477777778,,,
,15.9477777778,,,
,16.4622222222,,,
,11.8322222222,,,
,12.8611111111,,,
,9.26,,,
,12.3466666667,,,
,10.8033333333,,,
,11.3177777778,,,
,9.26,,,
,10.2888888889,,,
,10.2888888889,,,
,11.3177777778,,,
,11.3177777778,,,
,12.3466666667,,,
,10.2888888889,,,
,11.8322222222,,,
,11.3177777778,,,
,10.2888888889,,,
,11.3177777778,,,
,9.7744444444,,,
,7.2022222222,,,
,8.7455555556,,,
,8.7455555556,,,
,6.1733333333,,,
,7.7166666667,,,
,9.26,,,
,9.26,,,
,8.7455555556,,,
,8.2311111111,,,
,8.7455555556,,,
,8.7455555556,,,
,9.26,,,
,8.7455555556,,,
,10.2888888889,,,
,9.26,,,
,9.26,,,
,8.7455555556,,,
,7.2022222222,,,
,6.1733333333,,,
,2.5722222222,,,
,1.0288888889,,,
,1.5433333333,,,
,1.0288888889,,,
,2.5722222222,,,
,3.0866666667,,,
,3.0866666667,,,
,3.0866666667,,,
,3.6011111111,,,
,3.0866666667,,,
,4.63,,,
,7.2022222222,,,
,7.7166666667,,,
,9.26,,,
,11.3177777778,,,
,7.7166666667,,,
,9.7744444444,,,
,6.6877777778,,,
,5.6588888889,,,
,7.2022222222,,,
,8.7455555556,,,
,10.2888888889,,,
,12.3466666667,,,
,11.3177777778,,,
,8.7455555556,,,
,11.8322222222,,,
,9.7744444444,,,
,10.2888888889,,,
,11.3177777778,,,
,8.7455555556,,,
,9.26,,,
,10.2888888889,,,
,9.26,,,
,9.26,,,
,8.2311111111,,,
,7.2022222222,,,
,7.2022222222,,,
,7.2022222222,,,
,3.0866666667,,,
,5.6588888889,,,
,7.2022222222,,,
,4.1155555556,,,
,7.2022222222,,,
,4.1155555556,,,
,0.5144444444,,,
,2.0577777778,,,
,1.5433333333,,,
,1.0288888889,,,
,1.5433333333,,,
,3.0866666667,,,
,1.5433333333,,,
,1.0288888889,,,
,1.0288888889,,,
,1.5433333333,,,
,1.0288888889,,,
,0.5144444444,,,
,1.0288888889,,,
,2.0577777778,,,
,2.5722222222,,,
,3.6011111111,,,
,1.0288888889,,,
,1.0288888889,,,
,1.0288888889,,,
,1.0288888889,,,
,1.0288888889,,,
,1.0288888889,,,
,1.5433333333,,,
,2.0577777778,,,
,1.5433333333,,,
,2.0577777778,,,
,2.0577777778,,,
,2.5722222222,,,
,2.0577777778,,,
,2.0577777778,,,
,2.5722222222,,,
,2.0577777778,,,
,1.5433333333,,,
,2.0577777778,,,
,1.5433333333,,,
,0.5144444444,,,
,2.5722222222,,,
,2.0577777778,,,
,1.0288888889,,,
,2.0577777778,,,
,2.5722222222,,,
,1.0288888889,,,
,1.0288888889,,,
,1.0288888889,,,
,2.0577777778,,,
,2.0577777778,,,
,2.0577777778,,,
,1.5433333333,,,
,2.5722222222,,,
,1.0288888889,,,
,1.5433333333,,,
,1.5433333333,,,
,1.0288888889,,,
,1.0288888889,,,
,1.5433333333,,,
,1.0288888889,,,
,1.0288888889,,,
,1.0288888889,,,
,1.0288888889,,,
,1.5433333333,,,
,1.0288888889,,,
,1.5433333333,,,
,2.0577777778,,,
,1.5433333333,,,
,2.0577777778,,,
,1.5433333333,,,
,0.5144444444,,,
,1.0288888889,,,
,1.0288888889,,,
,3.0866666667,,,
,2.0577777778,,,
,2.0577777778,,,
,3.0866666667,,,
,2.5722222222,,,
,2.5722222222,,,
,3.0866666667,,,
,3.0866666667,,,
,3.0866666667,,,
,2.5722222222,,,
,1.5433333333,,,
,3.6011111111,,,
,2.0577777778,,,
,1.0288888889,,,
,0.5144444444,,,
,1.0288888889,,,
,2.0577777778,,,
,3.0866666667,,,
,4.1155555556,,,
,4.1155555556,,,
,4.1155555556,,,
,3.6011111111,,,
,3.0866666667,,,
,4.63,,,
,4.1155555556,,,
,3.6011111111,,,
,3.6011111111,,,
,4.63,,,
,1.0288888889,,,
,7.2022222222,,,
,7.2022222222,,,
,9.7744444444,,,
,10.2888888889,,,
,10.8033333333,,,
,10.8033333333,,,
,11.8322222222,,,
,10.8033333333,,,
,11.3177777778,,,
,7.7166666667,,,
,2.0577777778,,,
,2.0577777778,,,
,3.0866666667,,,
,4.1155555556,,,
,3.0866666667,,,
,4.63,,,
,3.0866666667,,,
,1.0288888889,,,
,2.5722222222,,,
,2.5722222222,,,
,3.0866666667,,,
,2.5722222222,,,
,2.5722222222,,,
,2.0577777778,,,
,2.5722222222,,,
,2.0577777778,,,
,2.0577777778,,,
,1.5433333333,,,
,0.5144444444,,,
,1.0288888889,,,
,2.0577777778,,,
,2.5722222222,,,
,1.0288888889,,,
,2.0577777778,,,
,1.0288888889,,,
,3.0866666667,,,
,2.5722222222,,,
,1.0288888889,,,
,1.5433333333,,,
,3.0866666667,,,
,2.0577777778,,,
,2.0577777778,,,
,2.5722222222,,,
,4.1155555556,,,
,4.63,,,
,2.0577777778,,,
,1.5433333333,,,
,1.5433333333,,,
,2.0577777778,,,
,3.0866666667,,,
,3.0866666667,,,
,2.5722222222,,,
,2.5722222222,,,
,3.0866666667,,,
,3.0866666667,,,
,3.0866666667,,,
,2.0577777778,,,
,2.5722222222,,,
,1.5433333333,,,
,1.5433333333,,,
,1.5433333333,,,
,1.0288888889,,,
,2.5722222222,,,
,2.0577777778,,,
,2.0577777778,,,
,1.5433333333,,,
,1.5433333333,,,
,2.5722222222,,,
,2.5722222222,,,
,3.6011111111,,,
,3.6011111111,,,
,3.0866666667,,,
,4.63,,,
,3.6011111111,,,
,3.0866666667,,,
,1.0288888889,,,
,2.0577777778,,,
,1.5433333333,,,
,1.0288888889,,,
,1.5433333333,,,
,2.5722222222,,,
,0.5144444444,,,
,1.5433333333,,,
,1.0288888889,,,
,1.0288888889,,,
,1.5433333333,,,
,2.0577777778,,,
,2.0577777778,,,
,3.0866666667,,,
,3.0866666667,,,
,3.0866666667,,,
,2.0577777778,,,
,2.5722222222,,,
,3.6011111111,,,
,3.0866666667,,,
,2.0577777778,,,
,1.5433333333,,,
,2.5722222222,,,
,3.0866666667,,,
,2.0577777778,,,
,2.5722222222,,,
,2.0577777778,,,
,2.0577777778,,,
,2.0577777778,,,
,2.0577777778,,,
,3.6011111111,,,
,2.5722222222,,,
,1.5433333333,,,
,2.0577777778,,,
,3.6011111111,,,
,1.0288888889,,,
,2.0577777778,,,
,3.0866666667,,,
,6.1733333333,,,
,2.5722222222,,,
,4.1155555556,,,
,8.2311111111,,,
,6.6877777778,,,
,3.0866666667,,,
,1.5433333333,,,
,4.63,,,
,7.2022222222,,,
,9.26,,,
,11.8322222222,,,
,10.2888888889,,,
,7.7166666667,,,
,11.8322222222,,,
,10.8033333333,,,
,18.52,,,
,16.4622222222,,,
,15.4333333333,,,
,13.3755555556,,,
,13.3755555556,,,
,13.89,,,
,10.2888888889,,,
,9.26,,,
,11.8322222222,,,
,13.3755555556,,,
,12.8611111111,,,
,12.8611111111,,,
,13.89,,,
,16.4622222222,,,
,15.4333333333,,,
,14.4044444444,,,
,15.9477777778,,,
,15.4333333333,,,
,13.3755555556,,,
,15.4333333333,,,
,14.4044444444,,,
,13.3755555556,,,
,12.8611111111,,,
,11.8322222222,,,
,10.2888888889,,,
,8.2311111111,,,
,10.2888888889,,,
,13.3755555556,,,
,14.4044444444,,,
,10.2888888889,,,
,8.2311111111,,,
,10.2888888889,,,
,10.2888888889,,,
,14.4044444444,,,
,5.6588888889,,,
,7.7166666667,,,
,7.7166666667,,,
,10.8033333333,,,
,9.26,,,
,11.3177777778,,,
,11.8322222222,,,
,10.8033333333,,,
,6.6877777778,,,
,6.6877777778,,,
,9.26,,,
,9.7744444444,,,
,9.26,,,
,9.7744444444,,,
,8.2311111111,,,
,14.4044444444,,,
,8.2311111111,,,
,11.3177777778,,,
,12.8611111111,,,
,10.8033333333,,,
,12.3466666667,,,
,10.2888888889,,,
,10.2888888889,,,
,7.7166666667,,,
,6.6877777778,,,
,2.0577777778,,,
,1.0288888889,,,
,2.5722222222,,,
,2.5722222222,,,
,2.0577777778,,,
,2.0577777778,,,
,2.0577777778,,,
,1.5433333333,,,
,1.0288888889,,,
,2.0577777778,,,
,2.0577777778,,,
,2.5722222222,,,
,2.5722222222,,,
,2.0577777778,,,
,1.5433333333,,,
,1.0288888889,,,
,0.5144444444,,,
,2.0577777778,,,
,1.0288888889,,,
,2.5722222222,,,
,1.5433333333,,,
,1.0288888889,,,
,2.0577777778,,,
,2.0577777778,,,
,2.5722222222,,,
,4.1155555556,,,
,4.1155555556,,,
,4.63,,,
,5.1444444444,,,
,4.63,,,
,2.5722222222,,,
,2.0577777778,,,
,2.0577777778,,,
,2.5722222222,,,
,2.5722222222,,,
,2.5722222222,,,
,2.0577777778,,,
,2.5722222222,,,
,0.5144444444,,,
,0.5144444444,,,
,0.5144444444,,,
,1.0288888889,,,
,1.5433333333,,,
,1.0288888889,,,
,1.5433333333,,,
,2.0577777778,,,
,1.5433333333,,,
,3.0866666667,,,
,3.0866666667,,,
,4.63,,,
,6.1733333333,,,
,7.2022222222,,,
,6.6877777778,,,
,7.7166666667,,,
,8.2311111111,,,
,6.1733333333,,,
,2.5722222222,,,
,3.0866666667,,,
,3.0866666667,,,
,3.0866666667,,,
,3.0866666667,,,
,3.6011111111,,,
,2.0577777778,,,
,2.0577777778,,,
,1.0288888889,,,
,0.5144444444,,,
,1.5433333333,,,
,1.0288888889,,,
,3.0866666667,,,
,3.6011111111,,,
,3.6011111111,,,
,4.1155555556,,,
,4.1155555556,,,
,2.5722222222,,,
,3.0866666667,,,
,3.0866666667,,,
,3.0866666667,,,
,3.6011111111,,,
,3.6011111111,,,
,3.0866666667,,,
,2.5722222222,,,
,3.0866666667,,,
,4.1155555556,,,
,3.6011111111,,,
,3.0866666667,,,
,3.6011111111,,,
,4.1155555556,,,
,3.6011111111,,,
,3.6011111111,,,
,2.0577777778,,,
,3.0866666667,,,
,2.5722222222,,,
,2.5722222222,,,
,2.0577777778,,,
,2.0577777778,,,
,3.0866666667,,,
,3.0866666667,,,
,1.5433333333,,,
,2.0577777778,,,
,2.5722222222,,,
,2.0577777778,,,
,1.5433333333,,,
,2.0577777778,,,
,8.7455555556,,,
,4.63,,,
,6.6877777778,,,
,6.6877777778,,,
,5.1444444444,,,
,4.1155555556,,,
,4.1155555556,,,
,6.1733333333,,,
,5.6588888889,,,
,4.63,,,
,4.63,,,
,7.7166666667,,,
,8.7455555556,,,
,9.26,,,
,8.2311111111,,,
,8.7455555556,,,
,9.26,,,
,6.6877777778,,,
,9.7744444444,,,
,3.0866666667,,,
,1.5433333333,,,
,1.5433333333,,,
,3.0866666667,,,
,2.5722222222,,,
,2.0577777778,,,
,1.5433333333,,,
,0.5144444444,,,
,3.0866666667,,,
,1.5433333333,,,
,9.26,,,
,10.2888888889,,,
,8.7455555556,,,
,7.2022222222,,,
,9.26,,,
,7.7166666667,,,
,9.26,,,
,9.7744444444,,,
,9.7744444444,,,
,9.26,,,
,11.8322222222,,,
,10.8033333333,,,
,9.26,,,
,8.2311111111,,,
,7.7166666667,,,
,2.5722222222,,,
,3.0866666667,,,
,3.0866666667,,,
,3.6011111111,,,
,5.1444444444,,,
,5.1444444444,,,
,4.63,,,
,4.63,,,
,7.2022222222,,,
,7.2022222222,,,
,8.2311111111,,,
,7.2022222222,,,
,3.6011111111,,,
,5.1444444444,,,
,3.0866666667,,,
,4.1155555556,,,
,4.1155555556,,,
,1.5433333333,,,
,3.0866666667,,,
,1.0288888889,,,
,1.0288888889,,,
,1.0288888889,,,
,0.5144444444,,,
,1.0288888889,,,
,1.5433333333,,,
,1.5433333333,,,
,1.0288888889,,,
,1.5433333333,,,
,2.0577777778,,,
,1.5433333333,,,
,1.0288888889,,,
,1.0288888889,,,
,1.0288888889,,,
,4.63,,,
,1.5433333333,,,
,2.5722222222,,,
,1.5433333333,,,
,3.0866666667,,,
,3.0866666667,,,
,4.63,,,
,6.1733333333,,,
,8.7455555556,,,
,9.7744444444,,,
,4.63,,,
,6.1733333333,,,
,7.7166666667,,,
,9.7744444444,,,
,11.8322222222,,,
,12.8611111111,,,
,15.4333333333,,,
,9.26,,,
,10.8033333333,,,
,13.89,,,
,10.8033333333,,,
,7.2022222222,,,
,5.6588888889,,,
,2.5722222222,,,
,1.5433333333,,,
,2.5722222222,,,
,2.0577777778,,,
,1.0288888889,,,
,2.0577777778,,,
,4.63,,,
,4.63,,,
,7.2022222222,,,
,6.1733333333,,,
,5.1444444444,,,
,5.6588888889,,,
,5.6588888889,,,
,5.6588888889,,,
,4.1155555556,,,
,4.63,,,
,3.6011111111,,,
,5.1444444444,,,
,4.63,,,
,4.1155555556,,,
,2.0577777778,,,
,4.63,,,
,5.1444444444,,,
,5.1444444444,,,
,4.63,,,
,5.1444444444,,,
,5.1444444444,,,
,6.1733333333,,,
,6.1733333333,,,
,6.1733333333,,,
,6.6877777778,,,
,7.2022222222,,,
,7.7166666667,,,
,9.7744444444,,,
,9.7744444444,,,
